bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,new_year,price,view,lat
3,1,1210,33919,1,0,0,3,7,1210,0,1640,14910,1954,290000,0,47.4375
3,2.5,2340,10005,1,0,0,4,8,1460,880,2250,8162,1978,375000,0,47.4431
3,1,1670,4005,1.5,0,0,4,7,1170,500,1240,4005,1939,460000,0,47.6878
2,1.75,1240,2493,1,0,0,4,8,1240,0,1270,4966,1985,188500,0,47.3813
4,2.5,3140,28037,2,0,0,4,10,3140,0,2990,35001,1991,680000,0,47.7304
5,1.75,2030,12342,2,0,0,4,7,2030,0,2500,9433,1942,470000,0,47.6417
4,2.5,2310,9624,2,0,0,3,8,2310,0,1940,9636,1984,597750,0,47.5386
3,1.75,1260,3328,1,0,0,5,6,700,560,1380,3536,1905,570000,0,47.6823
3,1.75,1540,12600,1,0,0,4,7,1160,380,1540,11656,1980,272500,0,47.3624
3,1.75,2080,5969,1,0,2,3,7,1080,1000,2090,5500,1971,329950,2,47.5474
4,2.5,3230,16171,2,0,3,3,9,2520,710,2640,8517,2001,480000,3,47.3183
3,3.5,4380,6350,2,0,0,3,8,2780,1600,1830,6350,1999,740500,0,47.6981
3,3.5,1590,1102,3,0,0,3,8,1590,0,1620,3166,2010,518500,0,47.6824
2,1,880,6780,1,0,0,4,6,880,0,1190,6780,1945,205425,0,47.5009
4,2,1570,9600,1,0,0,3,6,1570,0,1880,9000,1950,171800,0,47.4965
4,1,1610,2982,1.5,0,0,4,7,1610,0,1610,4040,1925,535000,0,47.587
3,2.5,2400,6474,1,0,2,3,8,1560,840,2340,10856,1964,660000,2,47.7728
3,2,1450,9132,1,0,0,3,7,1450,0,1580,9104,1987,391500,0,47.7288
2,1,770,6000,1,0,0,3,6,770,0,1710,6000,1953,395000,0,47.6999
4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1850,4400,1924,445000,0,47.5299
3,2.25,2910,10204,2,0,0,3,9,2910,0,2700,13992,1990,770000,0,47.6897
4,2.75,2750,17789,1.5,0,0,3,8,1980,770,3060,11275,1992,1450000,0,47.6141
3,2.25,2100,8201,1,0,2,3,8,1620,480,2660,8712,1967,445000,2,47.5091
4,2.25,2160,8811,1,0,0,3,8,1360,800,2090,8400,1978,260000,0,47.3129
5,3.5,2320,4960,2,0,0,5,7,1720,600,1700,4960,1926,822500,0,47.6763
4,2.5,2070,4310,2,0,0,3,7,2070,0,1970,3748,2004,430000,0,47.5319
3,1.75,1060,7875,1,0,0,4,7,1060,0,1420,7680,1986,212000,0,47.2761
4,2.25,2010,9603,1,0,0,3,8,1440,570,2060,9793,1986,660500,0,47.5343
3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,2480,88500,1989,784000,0,47.697
3,2.5,2010,2287,2,0,0,3,8,1390,620,1690,1662,2014,453246,0,47.5517
4,3.5,2140,2278,3,0,0,3,9,2140,0,1540,2285,2005,675000,0,47.6734
3,1.75,1320,17390,1,0,0,4,7,1320,0,1550,19265,1956,199000,0,47.3257
4,1.75,2020,7840,1,0,0,3,7,1010,1010,1750,8140,1968,220000,0,47.3309
4,2.25,2590,10002,1,0,0,4,8,1340,1250,1550,10436,1968,452000,0,47.7689
2,1,1190,4440,1,0,0,3,6,1190,0,1060,5715,1981,382500,0,47.7135
3,2.25,1170,1249,3,0,0,3,8,1170,0,1350,1310,2014,519950,0,47.6722
2,1,1110,3200,1,0,0,3,7,1110,0,1170,3600,1925,665000,0,47.6338
5,2.5,2820,9375,1,0,0,4,8,1550,1270,2820,9375,1968,527700,0,47.5707
3,1,1610,8579,1,0,0,4,7,1010,600,1610,8579,1962,205000,0,47.4563
3,1,1060,8097,1,0,0,4,7,940,120,1560,7940,1923,420000,0,47.7144
4,2.25,2030,8517,1,0,0,4,8,1380,650,2230,8824,1961,500000,0,47.5495
4,2.5,3670,315374,2,0,0,4,9,3670,0,2840,87991,1994,921500,0,47.7421
4,1,2550,4000,2,0,0,3,8,2370,180,2200,4000,1905,890000,0,47.6354
2,2.5,2420,60984,2,0,0,3,7,2420,0,1940,193842,2007,430000,0,47.5262
5,2,2260,12500,1,0,0,4,8,1130,1130,1360,18000,1960,258000,0,47.3887
3,1,1430,3455,1,0,0,3,7,980,450,1450,4599,1947,511000,0,47.6873
3,2,1360,3090,2,0,0,3,8,1360,0,1500,3090,1990,532170,0,47.6838
3,1,1110,5000,1.5,0,0,3,7,1110,0,1420,5000,1947,560000,0,47.655
3,1,1250,8200,1,0,0,4,7,1250,0,1680,8633,1954,282950,0,47.3255
4,3.25,5180,19850,2,0,3,3,12,3540,1640,3160,9750,2006,2250000,3,47.562
1,1,700,5100,1,0,0,3,7,700,0,1010,5100,1942,350000,0,47.679
3,1,1180,7669,1,0,0,4,7,1180,0,1190,7669,1967,215000,0,47.4479
5,3.5,3960,25245,2,0,0,3,9,2500,1460,2640,13675,1996,650000,0,47.525
4,2.75,2640,7500,1,0,0,3,8,1620,1020,1980,7875,1967,320000,0,47.3135
3,2,1270,7198,1.5,0,0,3,7,1270,0,1160,7198,2013,247000,0,47.2086
4,1.75,1760,11180,1,0,0,4,8,1760,0,1730,11180,1968,320000,0,47.4715
5,2.25,2060,8632,1,0,0,3,7,1030,1030,1010,11680,1962,255000,0,47.4877
3,1.75,1780,9660,1,0,0,3,7,1780,0,1200,9660,1962,438000,0,47.7171
3,2.5,3400,16603,2,0,0,3,10,3400,0,3400,12601,2000,900000,0,47.6012
3,2.75,1910,7280,1,0,0,3,7,1160,750,1710,8152,1979,441000,0,47.7319
3,2,2020,38332,1,0,0,4,7,1010,1010,2110,36590,1975,420000,0,47.4582
3,1.75,1580,7000,1,0,0,3,7,1180,400,1640,7500,1976,370000,0,47.7209
2,1.75,1340,7250,1,0,0,5,5,700,640,1830,9750,1949,269950,0,47.408
4,2.5,2680,4499,2,0,0,3,9,2680,0,2920,4500,1999,807100,0,47.565
3,2.5,2680,9750,1,0,0,4,8,1610,1070,2480,8750,1979,653000,0,47.7028
3,2,1370,8336,1,0,0,5,7,1370,0,1770,7288,1964,371500,0,47.7458
3,1.75,1560,21000,1,0,0,3,7,1560,0,1070,7920,1954,284000,0,47.4776
3,1.75,2160,7140,1,0,0,4,7,1670,490,1930,7350,1978,272000,0,47.3026
3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1480,7940,1955,313000,0,47.7658
4,2.5,3880,35003,2,0,0,3,10,2570,1310,3740,35230,1984,917500,0,47.6477
4,2.25,2590,8190,2,0,0,4,8,2590,0,2260,8335,1980,673000,0,47.5619
3,2.5,1120,1100,2,0,0,3,8,820,300,1590,1795,2008,425000,0,47.6106
5,2.75,1970,5400,1,0,0,3,7,1320,650,1280,2150,1986,399950,0,47.5868
3,1,1220,4800,1,0,0,3,6,1220,0,1200,4800,1901,385000,0,47.6101
3,1.5,1950,7560,1,0,2,4,7,1320,630,1950,8941,1975,269950,2,47.1976
2,1,1350,8220,1,0,0,3,7,1060,290,1540,8280,1949,330000,0,47.7224
3,2.5,1670,5797,2,0,0,3,7,1670,0,1670,6183,1988,260000,0,47.3505
4,3,2380,5125,1.5,0,0,4,7,1680,700,1410,5375,1925,470000,0,47.5384
4,3,2440,9600,2,0,0,5,7,2440,0,2290,9600,1961,589000,0,47.7044
2,1.5,1050,3419,2,0,0,3,7,1050,0,1050,3417,1996,163500,0,47.3848
4,2.75,3130,13412,2,0,0,3,9,2140,990,2260,9984,1993,835000,0,47.6993
5,3,4090,12850,1,0,2,4,10,2090,2000,2540,10270,1986,1100000,2,47.6627
4,1.75,1490,10000,1,0,0,4,8,1100,390,2190,8910,1969,269000,0,47.3099
3,2.5,1900,8744,2,0,0,3,8,1900,0,2030,8744,1987,560000,0,47.62
4,1,1330,2400,1.5,0,0,4,6,1330,0,1330,4400,1901,615000,0,47.65
3,2.25,2230,10026,1,0,0,3,8,1430,800,2230,9340,1975,585188,0,47.6647
3,1.75,1650,9480,1,0,0,3,7,1220,430,1540,8400,1977,305000,0,47.726
3,1,1190,8820,1,0,0,3,6,1190,0,1230,7980,1959,166950,0,47.4616
3,2.5,2140,9897,1,0,0,4,8,2140,0,2680,10083,1959,799000,0,47.5505
3,2.5,2180,7508,1,0,0,4,7,1420,760,1900,7818,1962,400000,0,47.7606
3,1,1060,10228,1,0,0,3,7,1060,0,1570,10228,1948,230000,0,47.7481
3,2.5,1690,5025,2,0,0,3,8,1690,0,2550,5001,2003,256883,0,47.2779
4,2,1970,6480,1.5,0,0,5,7,1130,840,1500,6480,1920,423000,0,47.5511
3,2.5,2150,4084,2,0,0,3,8,2150,0,1750,2385,2007,465000,0,47.5488
3,2.5,1910,66211,2,0,0,3,7,1910,0,2330,67268,1997,440000,0,47.5385
3,1.75,1350,155073,1,0,0,4,7,1350,0,1560,50965,1969,385000,0,47.4058
3,1,860,11725,1,0,0,4,6,860,0,1300,9514,1943,210000,0,47.5093
3,2.5,1940,14952,2,0,0,3,8,1940,0,2030,10450,1994,297000,0,47.3777
3,1,1010,5000,1,0,0,3,7,1010,0,1680,5000,1952,470000,0,47.675
3,1.5,1300,7370,1,0,0,4,7,900,400,1430,7500,1976,226500,0,47.3025
3,1,910,8450,1,0,0,4,6,910,0,1400,8040,1962,274250,0,47.4787
4,1.75,2480,11010,1,0,0,4,9,1630,850,2770,10744,1966,840000,0,47.5378
3,2.5,2440,4587,2,0,0,3,8,2440,0,2750,4587,2010,677900,0,47.7073
3,1,1010,5864,1,0,0,3,7,1010,0,1290,5000,1915,425000,0,47.5733
2,0.75,900,9600,1,0,0,3,6,900,0,1250,14280,1941,180250,0,47.4604
6,3,2300,3404,2,0,0,3,7,1600,700,1560,1312,1994,464000,0,47.7067
4,2.25,1550,7579,2,0,0,3,8,1550,0,1630,6397,1993,320000,0,47.354
3,2.25,1270,1566,2,0,0,3,8,1060,210,1160,1327,2014,625504,0,47.6647
4,2.5,2240,12032,1,0,0,3,9,2240,0,2520,12368,1983,592500,0,47.6143
3,2.5,2714,17936,2,0,0,3,9,2714,0,2590,18386,2005,465000,0,47.3185
4,2.75,1720,6270,2,0,0,3,8,1720,0,2130,8700,1978,477000,0,47.5458
2,1,850,16400,1,0,0,3,6,850,0,1100,14459,1923,280000,0,47.4889
5,3,3300,33474,1,0,3,3,9,1870,1430,3836,20953,1991,1510000,3,47.5673
3,2.5,2250,5692,2,0,0,3,8,2250,0,1320,5390,2000,445838,0,47.5133
2,2.25,3900,14864,1,0,3,3,8,1950,1950,2580,5184,1947,1070000,3,47.5884
2,1.5,1320,10800,1,0,0,4,8,1320,0,2120,12040,1947,467000,0,47.7145
4,2.5,2760,6440,2,0,0,3,10,2760,0,3070,8127,1999,686000,0,47.5836
3,2,1750,9750,1,0,0,3,7,1350,400,1900,10125,1961,279950,0,47.398
4,2.25,2330,19436,2,0,0,3,8,2330,0,1910,10055,1987,527000,0,47.7663
3,2.25,2220,16020,1,0,0,4,8,1780,440,2080,9583,1966,325000,0,47.3758
3,2.25,2020,8379,2,0,0,3,7,2020,0,2020,8031,1994,328000,0,47.3828
3,2.25,1250,7500,1,0,0,5,7,1250,0,1280,7392,1942,390000,0,47.5123
2,2,1510,6516,1,0,0,3,8,1510,0,1640,6009,2005,479950,0,47.7076
4,2.25,1720,9753,1,0,0,4,7,1120,600,1510,9753,1978,264950,0,47.2922
3,1,1430,15246,1,0,0,4,7,980,450,1960,13068,1961,235000,0,47.4075
3,2.5,1480,4729,2,0,0,3,7,1480,0,2250,4729,2004,516500,0,47.6794
2,1.75,1450,15798,2,1,4,3,7,1230,220,2030,13193,1978,655000,4,47.4497
4,2.75,2280,15347,1,0,0,5,7,2280,0,2280,15347,1960,500000,0,47.5218
6,2.75,2940,7350,1,0,0,3,8,1780,1160,2120,8236,1978,315000,0,47.3103
2,1,1000,10200,1,0,0,3,6,1000,0,1150,13702,1961,213000,0,47.5687
3,1.5,2480,5280,1.5,0,0,5,7,1620,860,2090,4800,1947,475000,0,47.5575
5,4,3760,28040,2,0,0,3,10,3760,0,3430,35096,1983,1030000,0,47.6489
3,2,2220,94300,1,0,0,5,7,1640,580,2070,80100,1976,416000,0,47.3459
4,1,1970,4740,1.5,0,0,3,7,1670,300,1510,4740,2005,410000,0,47.6136
3,3.5,3830,221284,2,0,0,3,10,3530,300,2920,148539,1993,800000,0,47.7641
6,2.5,4410,14034,1,0,2,4,9,2350,2060,2600,13988,1965,472000,2,47.3376
3,1.75,1430,8505,1,0,0,4,7,1430,0,1190,8640,1968,225000,0,47.3173
2,1,830,6000,1,0,0,3,6,830,0,830,4960,1940,210000,0,47.5308
2,1,1430,5000,1.5,0,0,2,7,1430,0,1450,3750,1925,455000,0,47.6727
3,1,1300,8316,1,0,0,4,6,1300,0,1260,8316,1954,225000,0,47.3221
2,1,1030,3060,1,0,2,4,7,790,240,1390,3060,1918,480000,2,47.6779
3,2.5,2740,11872,2,0,0,3,9,2740,0,2570,10377,1990,363000,0,47.3076
4,2.5,3650,8354,1,1,4,3,9,1830,1820,3120,18841,2000,2400000,4,47.6338
2,1.5,720,5120,1,0,0,3,6,720,0,1150,2566,1954,181000,0,47.5218
4,2,2010,7312,1,0,0,4,7,2010,0,2010,7650,1976,250000,0,47.2785
3,1.75,1560,3000,1,0,0,4,6,770,790,1390,3000,1918,481000,0,47.6846
3,2,1810,7209,1,0,0,4,7,1240,570,1750,7209,1978,260000,0,47.3656
4,2.5,3360,7685,2,0,0,3,9,3360,0,3060,6567,2001,455000,0,47.4369
3,2.25,1510,36224,2,0,0,3,8,1510,0,1730,36224,1991,415000,0,47.4616
3,1,1400,3538,1,0,0,3,7,800,600,1620,6331,1953,349500,0,47.5405
3,2.5,1730,7442,2,0,0,3,7,1730,0,1630,6458,1987,245000,0,47.3507
2,2,1420,9191,1.5,0,2,5,7,1420,0,1420,6816,1928,592500,2,47.6979
4,1.75,2360,7620,1,0,0,4,7,1180,1180,1910,7620,1955,385000,0,47.5278
3,1.75,1580,11455,1,0,0,4,7,1200,380,1550,10650,1974,315000,0,47.4756
3,1,1230,10170,1,0,0,3,7,1230,0,1380,10098,1979,255000,0,47.4437
4,2.5,2460,4425,2,0,0,3,8,2460,0,2990,5659,2006,693000,0,47.7048
3,1,1660,4400,1.5,0,0,3,8,1460,200,1660,4400,1911,780000,0,47.6362
3,1.75,1270,8470,1,0,0,4,7,1270,0,1600,8470,1960,237000,0,47.4207
3,2.25,2100,40510,2,0,0,3,10,1320,780,2380,33450,1979,525000,0,47.6154
2,1,770,5040,1,0,0,3,5,770,0,1330,2580,1930,425000,0,47.5964
1,0.75,760,10079,1,1,4,5,5,760,0,1230,14267,1936,369900,4,47.4683
4,2.5,1700,7280,2,0,0,4,7,1700,0,1950,7475,1988,290000,0,47.4045
3,1,1120,10701,1,0,0,3,7,1120,0,1130,6350,1954,285000,0,47.5544
2,1,1070,4500,1,0,0,3,7,1070,0,1320,4465,1937,415000,0,47.6802
3,2.5,2070,9900,1,0,0,3,8,1420,650,2070,8250,1979,272500,0,47.2988
4,3.25,5050,20100,1.5,0,2,3,11,4750,300,3890,20060,2008,2900000,2,47.6312
4,4.75,5310,57346,2,0,0,4,11,5310,0,4180,47443,1989,1370000,0,47.7285
2,1,1040,7538,1,0,0,4,7,1040,0,1440,7530,1939,436000,0,47.7107
3,1,1700,11390,1,0,0,4,7,1700,0,1350,8164,1967,210000,0,47.3271
3,1,1300,5898,1,0,0,3,7,1300,0,1320,7619,1961,236000,0,47.5053
3,1.75,1080,1306,1,0,0,3,7,580,500,1440,2225,2003,331000,0,47.6601
3,2.5,2653,4510,2,0,0,3,8,2653,0,2653,4927,2006,365000,0,47.4145
3,2,2290,16258,1,0,0,5,8,2290,0,1660,10530,1960,450000,0,47.4672
4,2.75,3820,26300,2,0,0,3,9,2850,970,1860,12136,2014,770000,0,47.7618
4,2.5,2210,49375,1,0,0,3,8,2210,0,2670,49385,1997,455000,0,47.3828
3,1.75,2390,6000,1,0,0,3,6,1240,1150,2020,6000,1908,405000,0,47.5362
4,1.75,2600,11325,1,0,0,4,7,1610,990,1720,11088,1969,304900,0,47.3954
2,1,860,5265,1,0,0,3,6,860,0,1650,8775,1931,170000,0,47.5048
5,3,3830,8480,2,0,1,5,9,2630,1200,3050,7556,1994,2050000,1,47.6166
4,2.5,3500,7048,2,0,0,3,9,3500,0,3920,7864,2005,780000,0,47.6811
3,3,2420,13959,1,0,0,4,8,1740,680,2570,13300,1988,330000,0,47.7486
4,2.5,2720,8666,2,0,0,3,9,2720,0,2410,8100,1992,370000,0,47.3846
5,2.25,2500,13500,1,0,0,3,7,1850,650,2300,9750,1979,467000,0,47.7564
3,1.75,1670,6720,1,0,0,3,7,1140,530,1670,7320,1980,405000,0,47.7198
5,2.25,2900,10300,1,0,0,3,8,1450,1450,2310,10300,1985,675000,0,47.5461
2,1,1640,14100,1,0,0,4,7,1140,500,1520,13527,1954,500000,0,47.5712
4,2.5,1890,15770,2,0,0,4,7,1890,0,2410,15256,1968,389999,0,47.4281
4,1.75,2950,9025,1,0,2,4,8,1780,1170,2120,9600,1975,630000,2,47.7128
4,2.5,2160,9528,2,0,0,3,9,2160,0,2280,9937,1992,360000,0,47.3341
4,3,3280,11060,2,0,0,3,8,2270,1010,2320,11004,1986,580000,0,47.5399
3,2,1970,4166,2,0,3,5,8,1270,700,2390,4166,1929,550000,3,47.5717
4,2.5,3360,22111,2,0,0,3,10,3360,0,3150,11374,1994,879000,0,47.5951
3,2,1320,8959,1,0,0,3,7,1320,0,1740,7316,1993,265000,0,47.3536
3,2.5,2650,7286,2,0,0,3,8,2650,0,2400,7220,1990,446500,0,47.5084
3,1.5,2030,8880,1,0,0,3,7,1330,700,2140,5592,1963,404000,0,47.5586
3,1.75,1590,11914,1,0,2,3,7,1090,500,1630,9052,1957,267500,2,47.4427
4,5,4550,18641,1,1,4,3,10,2600,1950,4550,19508,2002,3080000,4,47.6053
3,2.5,2440,7632,2,0,0,3,8,2440,0,2510,7903,1998,335000,0,47.3494
3,2.5,1940,9000,1,0,0,4,7,970,970,2190,7310,1948,576000,0,47.6933
3,2.5,2040,3810,2,0,0,3,8,2040,0,2370,4590,2006,208633,0,47.3537
